shipment_id,customer_id,origin_city,dest_city,dest_address,ship_date,delivery_date,status,failure_reason,weight_kg
SH2410000,5309,Bremen,Rotterdam,190 Mill Lane,2024-04-08,2024-03-24,returned,nan,8.32
SH2410001,4061,Hamburg,Bilbao,60 Main St,2024-09-07,2024-12-21,failed,recipient_absent,40.93
SH2410002,4013,Marseille,Dublin,88 Mill Lane,2024-03-07,,delivered,N/A,54.84
SH2410003,5494,Aarhus,Bremen,"237 Bridge St, Unit 3",2024-09-10,2024-11-20,delivered,nan,17.81
SH2410004,5354,Porto,Gdansk,21 Station Rd,2024-02-13,2024-05-15,delivered,NULL,33.82
SH2410005,4546,Hamburg,Marseille,137 Station Rd,2024-03-15,2024-07-09,returned,nan,20.27
SH2410006,4114,Porto,Antwerp,207 Dock Approach,2024-07-09,2024-02-07,in_transit,N/A,19.64
SH2410007,5316,Aarhus,Lyon,68 Kingsway,2024-04-24,2024-09-18,in_transit,-,81.30
SH2410008,4449,Lyon,Malmo,24 Main St,2024-02-05,2024-11-06,failed,site_access_denied,6.22
SH2410009,4958,Turin,Rotterdam,175 Harbour Rd,2024-11-18,2024-05-25,delivered,N/A,39.63
SH2410010,5478,Turin,Marseille,130 Harbour Rd,2024-11-10,2024-11-17,delivered,N/A,69.13
SH2410011,5086,Rotterdam,Utrecht,126 Main St,2024-02-12,nan,delivered,,66.37
SH2410012,5090,Lyon,Lyon,169 Elm Grove,2024-09-06,2024-05-17,failed,recipient_absent,84.10
SH2410013,5412,Bilbao,Gdansk,103 Dock Approach,2024-08-17,2024-08-04,delivered,N/A,2.39
SH2410014,5205,Porto,Rotterdam,19 Main St,2024-04-03,2024-01-28,in_transit,NULL,25.56
SH2410015,5104,Lyon,Malmo,63 Elm Grove,2024-07-07,2024-02-04,delivered,-,37.50
SH2410016,4110,Bremen,Antwerp,104 Dock Approach,2024-02-08,2024-04-07,delivered,-,17.01
SH2410017,4154,Aarhus,Bremen,13 Main St,2024-02-25,2024-04-06,failed,recipient_absent,78.32
SH2410018,4337,Manchester,Rotterdam,100 Mill Lane,2024-08-10,2024-07-23,in_transit,-,14.43
SH2410019,4119,Antwerp,Utrecht,15 Main St,2024-10-16,2024-09-28,delivered,nan,7.71
SH2410020,5218,Hamburg,Porto,104 Harbour Rd,2024-10-08,,failed,site_access_denied,51.37
SH2410021,4534,Bilbao,Utrecht,62 Mill Lane,2024-07-05,2024-11-21,delivered,,1.34
SH2410022,5153,Bremen,Hamburg,138 Station Rd,2024-09-09,2024-03-12,delivered,N/A,26.15
SH2410023,5112,Gdansk,Rotterdam,171 Mill Lane,2024-11-04,2024-03-09,delivered,nan,14.49
SH2410024,4431,Utrecht,Bilbao,176 Mill Lane,2024-09-16,-,delivered,,0.82
SH2410025,5304,Turin,Marseille,190 Elm Grove,2024-09-23,,returned,NULL,49.60
SH2410026,5192,Lyon,Dublin,33 Main St,2024-05-12,2024-01-12,delivered,,32.33
SH2410027,4832,Lyon,Porto,222 Kingsway,2024-03-14,2024-01-06,delivered,-,72.70
SH2410028,4508,Turin,Marseille,202 Harbour Rd,2024-07-28,2024-01-28,delivered,-,31.97
SH2410029,4466,Porto,Rotterdam,169 Station Rd,2024-07-11,N/A,delivered,nan,36.47
SH2410030,5098,Utrecht,Rotterdam,30 Mill Lane,2024-03-19,2024-05-02,failed,damaged_in_transit,66.07
SH2410031,5241,Bremen,Manchester,231 Station Rd,2024-05-02,nan,returned,NULL,33.28
SH2410032,5360,Utrecht,Utrecht,170 Harbour Rd,2024-12-10,2024-09-10,delivered,-,63.25
SH2410033,4392,Dublin,Manchester,174 Kingsway,2024-10-19,2024-05-13,delivered,N/A,26.32
SH2410034,5187,Utrecht,Aarhus,114 Elm Grove,2024-11-07,2024-09-16,returned,NULL,59.80
SH2410035,5359,Utrecht,Hamburg,210 Station Rd,2024-11-10,2024-04-26,delivered,,22.54
SH2410036,4149,Aarhus,Dublin,227 Station Rd,2024-12-23,2024-07-16,delivered,,80.84
SH2410037,4218,Dublin,Porto,46 Elm Grove,2024-01-18,2024-04-28,delivered,-,60.58
SH2410038,5219,Utrecht,Aarhus,157 Bridge St,2024-09-15,2024-03-24,failed,damaged_in_transit,68.16
SH2410039,4567,Malmo,Porto,71 Elm Grove,2024-02-23,2024-05-08,delivered,nan,7.75
SH2410040,4784,Lyon,Bilbao,17 Bridge St,2024-07-11,2024-09-15,delivered,-,35.55
SH2410041,5424,Rotterdam,Manchester,123 Main St,2024-06-10,2024-07-28,failed,site_access_denied,67.78
SH2410042,5235,Porto,Malmo,57 Mill Lane,2024-07-16,2024-01-13,returned,-,65.68
SH2410043,4261,Rotterdam,Manchester,152 Main St,2024-02-21,2024-07-05,delivered,,23.91
SH2410044,4931,Utrecht,Utrecht,195 Bridge St,2024-05-25,2024-07-09,failed,address_incorrect,67.91
SH2410045,4716,Porto,Hamburg,200 Main St,2024-01-08,NULL,delivered,NULL,43.12
SH2410046,4446,Aarhus,Turin,197 Dock Approach,2024-03-20,2024-10-24,delivered,N/A,N/A
SH2410047,5179,Manchester,Manchester,184 Station Rd,2024-02-19,2024-12-27,delivered,N/A,77.03
SH2410048,4247,Antwerp,Leeds,137 Bridge St,2024-11-12,2024-02-17,delivered,-,74.51
SH2410049,4741,Aarhus,Lyon,112 Kingsway,2024-12-17,2024-11-09,in_transit,-,42.34
SH2410050,5213,Turin,Utrecht,219 Station Rd,2024-02-09,2024-08-08,in_transit,nan,60.64
SH2410051,5012,Utrecht,Marseille,125 Station Rd,2024-06-26,2024-05-11,in_transit,N/A,50.52
SH2410052,4391,Hamburg,Porto,185 Bridge St,2024-08-18,2024-04-23,returned,-,N/A
SH2410053,4453,Manchester,Porto,79 Dock Approach,2024-08-18,2024-09-12,returned,nan,30.27
SH2410054,4554,Gdansk,Turin,60 Harbour Rd,2024-12-07,2024-06-04,returned,NULL,17.74
SH2410055,4566,Gdansk,Bremen,214 Station Rd,2024-05-08,2024-06-06,returned,nan,
SH2410056,5133,Gdansk,Lyon,164 Elm Grove,2024-02-28,2024-01-19,failed,customs_hold,31.16
SH2410057,4517,Malmo,Bremen,211 Harbour Rd,2024-07-16,2024-02-19,delivered,NULL,13.93
SH2410058,4622,Hamburg,Porto,31 Bridge St,2024-10-20,2024-10-08,failed,customs_hold,82.27
SH2410059,5205,Dublin,Gdansk,146 Main St,2024-10-24,2024-02-25,delivered,N/A,59.94
SH2410060,4355,Hamburg,Marseille,1 Bridge St,2024-08-23,2024-10-16,delivered,N/A,64.13
SH2410061,4929,Hamburg,Porto,237 Mill Lane,2024-11-19,2024-11-26,failed,address_incorrect,49.51
SH2410062,4544,Lyon,Hamburg,16 Kingsway,2024-05-20,2024-12-27,delivered,-,11.69
SH2410063,5433,Manchester,Turin,129 Elm Grove,2024-08-03,2024-10-02,returned,N/A,NULL
SH2410064,5380,Rotterdam,Turin,"148 Main St, Unit 25",2024-03-16,2024-09-21,delivered,NULL,90.23
