shipment_id,cust_id,origin_city,dest_city,dest_address,ship_date,delivery_date,status,failure_reason,weight_kg,service_tier
SH2510000,"0004622",Hamburg,Bilbao,133 Harbour Rd,2025-02-24,2025-04-18,delivered,nan,59.62,express
SH2510001,"0005143",Dublin,Bremen,197 Dock Approach,2025-11-15,2025-12-22,delivered,NULL,71.82,economy
SH2510002,"0005093",Aarhus,Leeds,232 Dock Approach,2025-09-11,2025-06-14,failed,damaged_in_transit,55.26,express
SH2510003,"0005126",Turin,Leeds,116 Elm Grove,2025-07-01,2025-12-02,in_transit,,47.08,NULL
SH2510004,"0004439",Utrecht,Rotterdam,198 Mill Lane,2025-09-17,2025-09-19,delivered,,3.90,express
SH2510005,"0005192",Porto,Porto,66 Mill Lane,2025-02-19,2025-07-19,returned,,65.62,express
SH2510006,"0005412",Bremen,Gdansk,10 Bridge St,2025-02-25,2025-01-25,failed,customs_hold,84.22,express
SH2510007,"0005233",Rotterdam,Manchester,14 Mill Lane,2025-09-02,2025-06-18,delivered,nan,63.30,express_am
SH2510008,"0005218",Hamburg,Porto,111 Mill Lane,2025-07-05,nan,returned,,49.83,express_am
SH2510009,"0005429",Lyon,Lyon,124 Station Rd,2025-08-13,2025-11-19,in_transit,nan,22.66,express_am
SH2510010,"0005179",Hamburg,Bremen,172 Bridge St,2025-07-12,2025-06-07,in_transit,,69.77,economy
SH2510011,"0004905",Lyon,Aarhus,12 Station Rd,2025-04-22,2025-06-05,delivered,,67.06,express
SH2510012,"0004589",Rotterdam,Utrecht,"178 Harbour Rd, Unit 10",2025-08-16,2025-01-11,in_transit,NULL,18.84,economy
SH2510013,"0005275",Lyon,Rotterdam,97 Main St,2025-05-06,2025-01-10,returned,nan,24.92,standard
SH2510014,"0005352",Turin,Leeds,222 Harbour Rd,2025-01-10,2025-11-13,failed,site_access_denied,88.40,economy
SH2510015,"0005222",Hamburg,Marseille,51 Elm Grove,2025-09-23,2025-01-02,in_transit,N/A,30.52,N/A
SH2510016,"0004727",Gdansk,Porto,129 Mill Lane,2025-01-21,2025-05-13,delivered,nan,85.92,economy
SH2510017,"0005345",Lyon,Hamburg,187 Bridge St,2025-09-22,2025-10-28,delivered,-,22.13,economy
SH2510018,"0004674",Aarhus,Lyon,53 Kingsway,2025-10-18,2025-11-26,delivered,N/A,62.47,express
SH2510019,"0004297",Marseille,Utrecht,18 Harbour Rd,2025-03-11,N/A,failed,customs_hold,27.80,economy
SH2510020,"0004384",Bremen,Lyon,48 Main St,2025-10-20,2025-05-20,delivered,nan,21.40,economy
SH2510021,"0004976",Lyon,Malmo,183 Dock Approach,2025-03-28,2025-07-16,delivered,NULL,20.86,standard
SH2510022,"0004845",Porto,Bilbao,194 Station Rd,2025-02-06,2025-08-28,returned,N/A,78.51,express_am
SH2510023,"0004085",Manchester,Utrecht,101 Main St,2025-09-04,2025-08-15,delivered,NULL,47.18,standard
SH2510024,"0005057",Antwerp,Bilbao,75 Elm Grove,2025-07-10,2025-05-15,delivered,nan,83.21,express
SH2510025,"0005323",Aarhus,Hamburg,185 Harbour Rd,2025-03-25,2025-10-23,failed,customs_hold,-,express
SH2510026,"0004184",Turin,Utrecht,178 Kingsway,2025-12-24,2025-02-03,failed,damaged_in_transit,8.18,express
SH2510027,"0004779",Antwerp,Marseille,234 Dock Approach,2025-10-28,2025-11-28,delivered,NULL,69.72,economy
SH2510028,"0004913",Gdansk,Marseille,31 Kingsway,2025-04-01,2025-10-25,failed,customs_hold,77.49,standard
SH2510029,"0005010",Porto,Bilbao,151 Elm Grove,2025-08-14,2025-08-03,delivered,NULL,79.90,express
SH2510030,"0004303",Antwerp,Leeds,10 Kingsway,2025-01-22,2025-10-27,delivered,,4.91,express
SH2510031,"0004582",Marseille,Aarhus,192 Dock Approach,2025-01-03,2025-05-11,failed,address_incorrect,68.76,standard
SH2510032,"0004275",Bremen,Turin,85 Bridge St,2025-09-07,2025-12-07,delivered,nan,66.18,standard
SH2510033,"0005410",Gdansk,Málaga,156 Dock Approach,2025-05-17,2025-10-20,delivered,nan,51.14,express_am
SH2510034,"0004368",Porto,Gdansk,50 Main St,2025-02-01,2025-08-21,returned,NULL,72.46,express_am
SH2510035,"0004716",Bilbao,Rotterdam,164 Station Rd,2025-12-10,N/A,in_transit,nan,N/A,economy
SH2510036,"0005165",Rotterdam,Marseille,50 Dock Approach,2025-06-22,2025-08-16,returned,NULL,43.83,economy
SH2510037,"0004847",Antwerp,Gdansk,145 Dock Approach,2025-09-18,2025-01-07,delivered,N/A,6.46,standard
SH2510038,"0004768",Marseille,Manchester,48 Harbour Rd,2025-05-23,-,delivered,-,79.43,economy
SH2510039,"0004619",Marseille,Bremen,96 Main St,2025-04-03,-,in_transit,NULL,17.62,economy
SH2510040,"0004293",Bremen,Lyon,"53 Main St, Unit 15",2025-07-23,,returned,nan,78.97,standard
SH2510041,"0005349",Gdansk,Rotterdam,148 Mill Lane,2025-11-07,2025-06-07,delivered,nan,29.22,standard
SH2510042,"0004322",Turin,Bremen,4 Harbour Rd,2025-04-18,2025-06-18,delivered,N/A,52.17,economy
SH2510043,"0004693",Aarhus,Antwerp,34 Main St,2025-08-22,2025-01-04,delivered,-,35.77,express_am
SH2510044,"0004639",Utrecht,Bilbao,183 Harbour Rd,2025-08-19,2025-03-03,returned,-,9.25,express_am
SH2510045,"0004458",Lyon,Turin,234 Dock Approach,2025-07-06,2025-12-22,delivered,-,44.38,standard
SH2510046,"0004944",Marseille,Gdansk,197 Dock Approach,2025-10-19,2025-03-17,returned,,29.83,economy
SH2510047,"0004820",Dublin,Porto,159 Station Rd,2025-09-06,NULL,returned,nan,39.30,economy
SH2510048,"0004483",Marseille,Hamburg,190 Elm Grove,2025-02-19,2025-10-15,delivered,-,16.36,standard
SH2510049,"0005403",Manchester,Utrecht,127 Main St,2025-02-07,2025-03-19,returned,,68.64,express_am
SH2510050,"0004798",Aarhus,Bilbao,53 Dock Approach,2025-05-19,2025-11-10,failed,damaged_in_transit,89.63,express_am
SH2510051,"0004602",Antwerp,Leeds,231 Main St,2025-01-23,2025-09-27,delivered,N/A,78.41,express_am
SH2510052,"0005457",Manchester,Manchester,98 Bridge St,2025-09-07,2025-11-06,delivered,nan,35.11,express_am
SH2510053,"0005372",Lyon,Lyon,3 Harbour Rd,2025-11-01,2025-03-24,returned,-,88.25,express
SH2510054,"0004851",Aarhus,Dublin,160 Kingsway,2025-08-17,2025-07-18,failed,damaged_in_transit,20.82,standard
SH2510055,"0005496",Porto,Turin,106 Dock Approach,2025-01-02,2025-10-16,delivered,nan,43.84,express
SH2510056,"0005078",Turin,Aarhus,133 Harbour Rd,2025-09-20,2025-02-08,returned,,62.07,economy
SH2510057,"0004703",Rotterdam,Malmo,117 Elm Grove,2025-10-24,2025-06-14,delivered,N/A,15.58,economy,depot_5,scan_162
SH2510058,"0005288",Malmo,Marseille,147 Main St,2025-11-10,-,delivered,NULL,46.00,economy
SH2510059,"0005261",Turin,Turin,220 Mill Lane,2025-01-24,2025-02-20,in_transit,NULL,59.82,express
SH2510060,"0005435",Porto,Malmo,47 Main St,2025-06-03,2025-03-20,delivered,-,68.25,express_am
SH2510061,"0004901",Marseille,Bilbao,148 Dock Approach,2025-01-21,2025-05-25,delivered,NULL,42.26,express_am
SH2510062,"0005090",Porto,Manchester,175 Bridge St,2025-08-09,2025-03-17,delivered,N/A,83.95,economy
SH2510063,"0005398",Antwerp,Bremen,235 Dock Approach,2025-07-20,2025-11-28,delivered,N/A,72.71,express_am
SH2510064,"0005382",Porto,Bilbao,134 Dock Approach,2025-11-23,2025-03-11,returned,,,standard
SH2510065,"0004719",Porto,Gdansk,65 Station Rd,2025-01-01,nan,returned,NULL,86.04,standard
SH2510066,"0005238",Lyon,Manchester,169 Kingsway,2025-02-23,2025-03-09,returned,,57.99,economy
SH2510067,"0005417",Utrecht,Turin,42 Harbour Rd,2025-05-25,2025-01-13,delivered,N/A,86.50,express_am
SH2510068,"0004410",Manchester,Marseille,166 Elm Grove,2025-02-05,2025-09-25,in_transit,,82.63,
SH2510069,"0005170",Turin,Aarhus,5 Elm Grove,2025-03-21,2025-11-01,returned,-,24.48,express_am
SH2510070,"0005055",Malmo,Malmo,112 Bridge St,2025-12-25,2025-02-18,failed,customs_hold,11.41,economy
SH2510071,"0004620",Manchester,Antwerp,162 Harbour Rd,2025-06-18,2025-06-03,delivered,NULL,-,express
